student_id,cgpa,total_credits,gpa_sem1,gpa_sem2,gpa_sem3,gpa_sem4,gpa_sem5,gpa_sem6,n_courses,n_grade_A,n_grade_B,n_grade_C,n_grade_D,n_grade_E,programme
SOH-2021-EH-01,1.3,114,1.2,1.44,1.19,1.12,1.37,1.48,47,8,16,15,7,1,OHS
SOH-2021-EH-02,3.23,125,3.29,3.54,3.08,2.88,3.46,3.14,45,16,9,14,6,0,OT
SOH-2021-EH-03,1.51,118,1.49,1.27,1.18,1.64,1.9,1.56,42,5,9,14,13,1,EH
SOH-2021-EH-04,2.52,125,2.53,2.63,2.33,2.58,2.73,2.35,44,18,8,8,10,0,OHS
SOH-2021-EH-05,2.39,108,2.62,2.88,2.16,2.35,2.3,2.03,51,19,13,13,6,0,EH
SOH-2021-EH-06,3.62,111,3.63,3.25,3.88,3.71,3.66,3.59,51,21,10,16,4,0,EH
SOH-2021-EH-07,2.17,118,2.34,2.33,1.62,2.26,2.08,2.39,42,12,12,10,8,0,OHS
SOH-2021-EH-08,2.83,115,2.81,2.91,2.55,2.99,2.78,2.96,50,16,17,13,3,1,OHS
SOH-2021-EH-09,1.49,111,1.54,1.31,1.55,1.74,1.9,0.89,52,13,9,16,13,1,EH
SOH-2021-EH-10,2.94,121,3.08,2.91,2.64,3.32,2.56,3.11,45,22,6,10,7,0,OT
SOH-2021-EH-11,1.91,121,1.8,1.5,1.96,2.34,2.5,1.36,45,8,11,15,11,0,OHS
SOH-2021-EH-12,3.19,111,3.28,3.55,3.2,2.85,3.16,3.07,43,14,14,12,3,0,OHS
SOH-2021-EH-13,3.53,115,3.72,3.69,3.57,3.53,3.21,3.45,47,24,11,9,3,0,OT
SOH-2021-EH-14,3.32,111,3.15,2.77,3.61,3.36,3.84,3.22,43,20,7,11,4,1,EH
SOH-2021-EH-15,1.21,116,1.5,1.87,0.85,0.91,1.28,0.85,44,8,12,14,10,0,OHS
SOH-2021-EH-16,2.1,109,1.92,2.08,2.35,2.03,2.3,1.9,52,14,11,20,7,0,OHS
SOH-2021-EH-17,2.35,110,1.85,2.52,2.11,2.46,2.45,2.68,50,18,7,16,9,0,OT
SOH-2021-EH-18,2.57,118,2.98,2.65,2.47,2.46,2.53,2.34,50,16,13,16,5,0,OT
SOH-2021-EH-19,1.46,121,1.57,1.39,0.92,1.47,1.56,1.82,48,9,15,15,9,0,EH
SOH-2021-EH-20,2.02,114,1.56,1.54,2.36,1.98,2.31,2.4,45,9,10,18,8,0,EH
